input	reference	prediction
#qum# La esposa de don Jesus solo utiliza buena leña	wu rxqiil taʼ xuux xaq utz laj siʼ kchuknik chre	qum kʼiij ri rbʼal
#qum# Todo la arveja se	Njeel ri xkarawaʼn xpochʼik rech chenim xchaqʼjik	qum ri xbʼiʼxik ri rkaʼbʼal
#qum# En nuestro pueblo ya no se usa nuestro idioma	Pri qtinmit qal chik kchkunsxik ri qyolbʼaal	qum ri rwiʼ ri rkaʼy
#qum# El estudiante está aprendiendo como	Ri ajtijnel tjin kirtijuuj c hemo rchkunsxik ri suʼ	qum ri xtzʼoʼk ri rbʼaʼ
#qum# La mujer estaba abrazada por su marido	Ri ixoq tzʼulmaj rum ri rchjiil	qum ri kʼolik ri rqʼiij
#qum# Mañana van a sembrar con don Francisco	Rukʼ taʼ Francisco chwaʼq xtbʼanik awaʼn	qum ri xtʼiʼ ri rbʼal
#qum# Alrededor de la casa hay un cerco	Chwoch ri jaay kʼolik jun tzʼapiibʼ	qum kʼiij ri rkʼiij ri rkʼiʼj
#qum# Ataq	Los jóvene s todos los días juegan en el campo Perjuicio	qum ri rkʼaal ri ryaʼ xbʼaq ri rchʼal
#qum# Cuando murió mi mamá me quedé en la tristeza	Ataq xchupik ri nchuch xinkanajken pri bʼiis	qum ri xbʼeem ri kʼolik
#qum# la mujer se murió de la matriz	Ri ixoq xchupik rum wu rchuch rkʼuʼx	qum ri rkaʼ ri rkaʼyik
#qum# Entre tres días nos encontramos para platicar del	Oxej xtqriq qiibʼ chi ryolik ri chaak	qum ri rchʼ ri rkʼulul ri rqʼiij
#qum# A los niños no es bueno enseñarles a	Chke ri ajkʼ a lobʼ qal utz xtnaqʼsxik ri elqʼneem	qum rxbʼal ri rchʼiʼ ri ajkʼaʼ
#qum# La hoja de aliso es bueno para la broza	Ri rxaq limobʼ utz kchuknik chi ri qʼyees	qum ri rbʼan ri rbʼal ri rchʼiʼ
#qum# El caballo se cayó por mucha carga	Ri keej xtzaqik rum wu xaq et rchim	qum xbʼan ri rbʼeem
#qum# El bebé resbaló en la cascara de la fruta	Ri ajkʼal kjilpji k pri riij loʼn	qum utz xbʼanik
#qum# El señor le dejo toda la tierra a su nieto	Ri tatyoox xyaʼken njeel ri uleew chu ri rmon	qum ri ajkʼaʼl ri rbʼal
#qum# Los zapatos de la señorita les quedo flojo Jaula	Wu xjabʼ koʼl xiʼ kanajken pirqan wu aliit	qum ri kʼolik ri rkʼoʼl
#qum# La comadreja se terminó de comer las gallinas	Wu saqtbʼiin mixeʼrkʼis ri akʼ c htijik	qum ri rkʼal ri rkʼiij
#qum# Cuatro mesas grandes servirán para comer	Kji bʼ nmaq meex xkiʼchuknik rech weʼbʼal	qum ri xbʼal ri rkʼiij
#qum# Todos los lapiceros ya están divididos a los niños	Njeel ri tzʼibʼbʼal jachmaj chik chke ri ajkʼalobʼ	qum utz xbʼan ri rbʼan
#qum# La mata de aguacate se está secando por el	Ri rqan ooj tjin rchiqik rum wu tzrabʼ	qum ri ajkʼal ri rkʼaaj
#qum# Cuando bajamos a la orilla del río es muy	Ataq kojqajbʼik chchiʼ ri yaʼ xibʼal kliswik	qum xtzaʼ ri rbʼal
#qum# El hombre cuando	Ri achii ataq kirbʼsuj rbʼanik jun chaak, xtbsuj ri qʼiij chu rkʼisbʼaal	qum ri kchʼolik ri rkʼolik
#qum# La cara de la vaca se ve alargada	Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	qum xqʼiij ri rbʼanʼ
#qum# La araña come las moscas que están en la pared	Wu am kertij ri us ri ikʼoʼk chu xaan	qum ri rkaʼy ri rkʼaj ri rbʼanik ri rqʼiʼ
#qum# Kkanjik	Ataq kpetik nim jabʼ xibʼal ri senyabʼ	qum ri chʼiij ri rchʼal
#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	qumik ri rchʼiyik ri kʼiyik
#qum# Vejez	Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	qum kiryaʼ xqʼiij ri rchʼiʼ ri wnaq
#qum# Todo el maíz se apolillo	Njeel ri ixiim xpokʼrik	qum kʼolik ri rqʼiij
#qum# por el daño que el hombre está	Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	qum wu rkaʼj ri rbʼan
#qum# La masa salió quebrada	Ri qʼoor chqaam xelul	qum xbʼal ri rbʼaal
#qum# La botella se utiliza para guardar miel	Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	qum ri rkʼaʼj
#qum# Vamos todos para que nos atieden nuestra	Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	qum kʼoʼj ri rkʼoʼt
#qum# El río creció por eso se llevó toda la	Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	qum kʼoʼyik ri rqʼoʼbʼal
#qum# El árbol es grandicimo por eso le pego el rayo	Jomom ri cheʼ sichaʼ xkʼeq rquljaay	qum ri xtzʼoʼj ri rbʼan
#qum# El frijol que se compra en la plaza lo	Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	qum ri ajkʼabʼ
#qum# Cuando cómo frijol me da ardor de pecho	Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	qum ri rbʼal ri xchʼoʼj
#qum# Todas las frutas están rodajeada con cuchillo	Njeel wu loʼn jexmaj rukʼ qʼatbʼal	qum wu rbʼal ri rbʼaʼ
#qum# Ayer mi mamá compró hilo de varios colores	Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	qum riij xkʼiʼ ri rqʼiij
#qum# El ladrón fue arrastrado por las	Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	qum ri chaakʼ xbʼan ri rchʼiij
#qum# Las matas de maguey se están secando por la plaga	Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	qum kʼolik ri rchʼiyik ri rbʼal
#qum# Cuando se come un chompipe quiere mucho	Ataq ktijik jun chooj nim rkunaal kraaj	qum kʼolik ri chʼiʼl ri rkaʼy
#qum# Todo el techo de ,la casa gotea	Njeel ri rwiʼ jaay ktzʼujik	qum ri kʼolik
#qum# Quemar bien	El enfermo se empeoro porque salio bajo la lluvia	qum ri rbʼiʼl ri rqʼabʼ
#qum# La reun ion se realiza cada semana	Ri molbʼeem kbʼanik chwuqubʼ qʼiij	qum kʼolik ri rchʼabʼ
#qum# El árbol se le seco las hojas	Ri cheʼ xchiqik ri rxaq	qum ri xbʼoʼj riij ri rchʼiʼ
#qum# Con el doblador se hacen muñecas decoradas	Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	qum ri rchbʼal ri rbʼal
#qum# el coyote se comió l as once ovejas	Julajuuj chiij xeʼr tij ri sjiʼl	qum ri rbʼan riij ri rbʼal
#qum# El hombre se go lpeó la	Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	qum ri rbʼeek ri rkʼaaq
#qum# El frujol blanco es delicioso comer en	Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	qum ri kʼolik ri rkʼolik
#qum# L avado	El cerdo ensució el maíz	qum ri rkʼoʼnik ri ajkʼabʼ
#qum# La mujer hace lasos con la	Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	qum ri rkaʼbʼal ri rkʼaʼl
#qum# El ayote es bien rico pa ra comer	Chetzʼiʼnik rtijik ri qʼooqʼ	qum ri rkaʼbʼal ri rchʼaʼ
#qum# Cerca murió el marido de la mujer	Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	qum rqʼiij ri rbʼal
#qum# Todo el tamal estaba comido por las ratas	Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	qum kʼolik ri rqʼiyik
#qum# Arena	Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	qum ri rbʼal ri xbʼanik ri rbʼal
#qum# El formón lo utiliza el carpintero	Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	qum ri rkʼoʼj ri rtzʼiij
#qum# El conejo cuando hay buena luna sale a comer el frijol	Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	qum ri rkʼaʼ ri rqʼiij
#qum# La mujer cuando mató a la gallina	Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	qum ri rxbʼiij ri rchupnik
#qum# El documeto del terreno está ahumado	Ri rjujil uleew xsibʼrik wu riij	qum rtzʼiʼj ri wnaq
#qum# La flor de milpa lo come las chorchas	Ri tzʼtuj ktij tochʼaʼ chu kwoy	qum ri rkʼiij
#qum# Es necesario cuidar la naturaleza	Riliil riij xtloqʼxik ri uleew	qum kʼoxik ri rbʼal ri rkʼiij
#qum# La mayoría de los niños consumen mucha galguería	Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	qum utzʼik rchʼaqʼ
#qum# Cuando entra el verano las vacas se ponen flacos	Ataq kokik saqʼiij yaax keʼlik ri waakx	qum ri rbʼal ri rchʼiʼ ri rchʼ
#qum# El niño se majó el dedo	Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	qum chik chik ri rkʼaʼ ri rbʼeʼ
#qum# Boca arriba	Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	qum ri xbʼal ri ajkʼaʼ
#qum# El niño no guantó porque se le regó agua	Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	qum ri rkʼiij
#qum# La mariposa vuela entre las flores	Wu puʼt kxikʼnik chu taq ri kotzʼaj	qum ri kʼiij ri rbʼal
#qum# Todos los enfermos sanaron	Njeel ri ya abʼ mixuʼtzrik	qum wu rkʼaʼl xkʼuʼx
#qum# La milpa se secó porque le cayó hielo	Ri chnooj xchiqik kumu xqaaj teew chriij	qum ri achii rqʼik
#qum# El frijol amarillo da cuando se siembra	Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	qum xbʼiʼj ri xtzʼalwik ri rqʼiij
#qum# El agua tiene pureza	Ri yaʼ kʼolik rsaqiil	qum ri rqʼoʼqʼik chu rqʼoʼ
#qum# El techo de la casa de mi papá se ve de forma triangulo	Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	qum kirtij ri wnaq ri rchʼiʼ
#qum# Cuando el buhuo llega a	Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	qum ri xtzʼaʼ ri ajkʼalbʼal
#qum# La reunión de los estudiantes se hizo anteayer	Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	qum ri xbʼal ri rchʼiʼ
#qum# Mi mamá tiene sirvienta	Ri nchuch kʼolik rmkoom	qum wu rbʼaal chʼiʼbʼik
#qum# Los niños empezaron a llorar cuando perdieron	Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	qumilike.
#qum# Nuestro idioma es el Sipakapense	Ri qyolbʼaal areʼ ri Sipakapense	qum ri rqʼiij ri rchʼuʼj
#qum# Por un poco no alcanzo el fuego la otra casa	Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	qum ri rkʼiʼt
#qum# El mal de ojo les afecta a los	Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	qum ri xbʼanik ri rkʼaʼl
#qum# No es bueno comer el sobrante al otro día	Qal utz xtqtij ri chʼqaap	qum xtzʼoʼj ri xtzʼajbʼal
#qum# A todas las	Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	qum ri rkʼalbʼal ri rkʼooq
#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	qum ri rwiʼj ri rwiʼ ri rxbʼal
#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	qum ri rkaʼy ri rkʼaaj
#qum# Por allá está la casa de mi hermana	Tukkilaʼ kʼolik r i rchoch ri wnobʼ	qum ri rkaʼyʼyik ri rchʼuʼ
#qum# Las flores que tiene sembrado mi mamá son de color rojo	Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	qum ri rbʼan ri rbʼanik ri rchʼal
#qum# Los trabajos de los antiguos ya no se encuentran	Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	qum ri rkʼaʼ ri rkʼiij
#qum# El granizo golpeo la milpa	Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	qum ri xtzʼiʼtzʼik
#qum# Al niño le da estornudo	wu ajkʼaal kiryaʼ achyam chre	qum riij xbʼan ri rbʼanik ri rchʼiʼ
#qum# Codo	Pongale una cuña a la mesa	qum kʼolik rqʼiij
#qum# Salimos rápido por eso regresamos juntos	Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	qumililqqʼʼqʼuʼj
#qum# El lápiz del estudiante se quebró	Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	qum ri ajkʼool
#qum# El cabello de la señorita está trensado con su	Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	qum ri xkʼooj ri rchbʼal
#qum# Ante el juez no se presentó el acusador	Chu ri qʼtal iil qal ri tzujnel xopnik	qum ri rbʼal ri rchʼiʼj ri rkʼaaj
#qum# C ama wu chʼaat bʼantlik rukʼ	Estaba mojado la camisa del hombre por eso le dio fiebre	qum xbʼal ri rkʼiij
#qum# El hom bre tiene bellos en el pecho	ri achii kʼolik rsmaal chu rkʼuʼx	qum xtzʼiʼj
#qum# Pizarron	La tabla es ancha	qum utz xbʼan ri xbʼan ri rkʼolik
#qum# El bebé gatea en el patio de la casa	Ri neʼ kchaknik pirqan jaay	qum xtzʼiʼ ri rbʼan
#qum# Hay personas que ya no se recuerda de	Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	qum kʼolik rchʼiij
#qum# La señora ronca mucho cuando duerme	Wu ixoq kjororik wu rtzaʼm ataq kwrik	qum ri xbʼal ri rkʼolik ri chʼiij
#qum# La hoja de papel esta medio pegado	Ri rxaq juuj xaq qiʼn nakʼlook	qum kʼoʼyxik rqʼiij ri rbʼal
#qum# La gente cando existe entre ellos un problema se desprecian	Ri wnaq ataq kʼolik jun chʼoʼj chkxoʼl ketzlaj kiibʼ	qum wu xbʼanik ri rbʼeek ri rbʼan
#qum# El encendedor sirve para juntar el	Ri tʼiqbʼal kchuknik chu rnukʼik ri qʼaaqʼ	qum xtzʼajbʼik ri rkaʼybʼal
#qum# Cuando se junta	Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ	qum ri rkʼalxik ri rkʼabʼ
#qum# Donde yo vivo es tierra caliente	Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ	qum ri kʼolik ri kʼolik ri rbʼanik
#qum# C uando amanecemos el gallo canta	Ataq kojsaqrik ri tzeek koqʼik	qum ri rbʼal ri kchʼoʼqik
#qum# Todas las bancas son redondas	Njeel ri teem isetsik	qumʼ ri rxbʼal ri rtzʼiʼ
#qum# Cuando se tapisca la	Ataq kjachʼik ri jal xaq xeew ri rqan chnooj kkanjik	qum xbʼaal ri rkaʼbʼal
#qum# La masa salió fino en el molino	wu qʼoor kookʼ xelul pwu keʼbʼal	qum ri rkʼiʼtzʼik
#qum# Ri ixoq	Tráigalo	qum kʼolik ri rkʼool ri xqʼiij
#qum# La escuela cumplió el decimo sexto año de	Rwaqlaaj rjnobʼ ri tijbʼal xtzʼaqtik	qum wu rqʼoʼm ri rchaʼ
#qum# La fruta está medio ácido	Ri loʼn chʼomchʼoj rtijik	qum xbʼiʼj ri rkʼolik
#qum# Los zapatos de mi abuelo es de color negro	Ri rxjabʼ ntatanool qʼeq kkaʼybʼaal	qum ri rkʼaaq
#qum# Todas las hojas de papel se perforó	Njeel ri rxaq juuj xeʼ worik	qum ri rkʼool ri rbʼanik ri rbʼanik
#qum# La vaca es de mejilla gorda Extendido	Ri waakx lewlik wu rwoch	qum ri rkʼallik ri rkʼaʼ
#qum# Para espantar a los zanates sirve la onda de pita	Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ	qum kʼolik ri rkʼolik ri rkʼiij
#qum# Todos los niños se dispersaron por el miedo	Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ	qum ri kʼoʼqʼik ri rkʼabʼ
#qum# El hombre ya es viejo por eso no aguanta caminar	Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik	qum, i.e. i.e. i.e. i.e. i.e.e.e.e
#qum# Es necesario mostrar lo que se quiere	Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq	qum ri rbʼoʼl ri rkaʼj
#qum# La	Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal	qum ri rbʼiʼj ri rkʼiij
#qum# La tortuguilla terminó de comer el frijol	Wu leem xkʼis ri knaqʼ	qum xtzʼiij xtzʼiij
#qum# L a haba se muele para pinol	Wu jaws kkeʼxik chu kʼej	qum kirbʼeem xtzʼiij
#qum# El trabajo está duro por eso no avanzaron los trabajadores	Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak	qum, so the workers have not gone forward
#qum# La olla grande es de boca grande	Wu nima xbʼoʼj leʼlik wu rchiʼ	qum wu rbʼal ri rkʼal ri rkaʼyxik ri rkʼoom
#qum# La abuela le duele su hueso	Ri nooy kiʼ qʼoxwik ri rbʼaqil	qum ri rkʼiʼj ri rkʼolik
#qum# Mi perro se murió despacio ór la vejez	Tkaal xkmik ri ntzʼiʼ rum riʼjaal	qum ri qʼolik ri rqʼiij
#qum# En la reunión llegaron solo dos mujeres	Pri molbʼeem xaq kʼeebʼ ixoq xoʼpnik	qum ri rkʼoʼj
#qum# Si hablamos con la verdad	Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri utziil	qum xbʼanik ri rkʼal wu rbʼan
#qum# En el terreno hay montones de piedras	Pri uleew kʼolik kʼiy amluʼx abʼaj	qum ri rqʼiij
#qum# Para que no nos critiquen es bueno pagar la deuda	Rech qal xkojyolik, utz xttojik ri kʼaas	qum rkʼaʼ ri rqʼiij
#qum# Las aguas estancadas no es bueno	Ri tikʼlik yaʼ qal utz kumu kiʼ poqʼnik ri raal us	qum ri rkaʼbʼik ri rbʼal
#qum# El perro es travieso	Ri tzʼiʼ xwos	qum kʼolik ri rkʼolik
#qum# Existen personas que no creen en las imágenes	Kʼolik ri wnaq qal knmaj ri tyoox	qum, i. I. There are people who don't believe in images.
#qum# Que fecha nació mi hermano	Che rajlbʼaal rkʼosbʼik r i wtziik	qum wu rxchʼiʼj
#qum# M i mamá está enfermo de la tos	Ri nchuch yaabʼ rukʼ rqul	qum ri rkʼoʼj
#qum# la comadrona vive en el traingulo	Ri ajkuun tlaʼ kʼolik rchoch waʼchiʼ rbʼiʼ oxchʼuʼk	qum ri rxʼiʼj ri kʼoʼl
#qum# La gall inaza es bueno para abonar la siembra	Ri rchaq akʼ utz xtqajik chxeʼ ri tikaʼ	qum ri rkʼoʼxik ri rqʼabʼ
#qum# Cuando hay charcos de agua	Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik	qum kirbʼik ri rkaʼyxik
#qum# El ladrón entró arriba por eso no se dio cuenta el perro	ajsik xokul ri elqʼoom sicha ʼ qal xnaʼ ri tzʼiʼ	qum. The thief went up there, so the dog didn't get his shit.
#qum# Cuando nacio el niño lo	Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul	qum ri rqʼiij
#qum# El caballo tiene los ojos grandes	Ri keej bʼilbʼik wu rbʼaq rwoch	qum kʼaj ri rbʼaʼ ri rchʼiʼ
#qum# Barrendero	El cuarto lo han barrido	qum ri ajchʼbʼal ri ajkʼoʼn
#qum# Mi mamá puede hacer petate	Ri nchuch utz keʼrbʼan ri xkulbʼal	qum ri rkʼaʼtlik ri rwiʼy
#qum# La en voltura del papel está hecho de algodón	Ri pisbʼal ri juuj bʼantlik rukʼ miit	qum ri xtzʼiʼ ri rkʼiij
#qum# Todos los negocios están cerrados	Njeel ri kʼyeej itzʼaplik	qum kʼolik ri rbʼal
#qum# Dirrecion	Xsqarsxik ri riil ri achii se aclaró el delito del hombre	qum ri rqʼoʼqʼiij ri rchʼiʼ
#qum# En el camino se regó arena	Chpom ri bʼeey xtukxik poqlaaj	qum ri rwiʼkʼal ri rqʼoʼ
#qum# La ropa está mojada	Ri sʼaq tʼaq	qum ri rbʼaʼl xbʼeem
#qum# Cuando el perro olió las huellas del	Ataq xsiq ri tzʼiʼ ri qan chkop xtrambʼeej rech xwiʼtaaj	qum xtzʼoolbʼik ri rbʼanik
#qum# La señorita se le cayó la muela	Ri aliit xtzaqeel wu rkaʼ	qum ri rkʼaʼ xbʼan ri rkʼaaj
#qum# El perro lo hirió al hombre en la fosa poplítea	Ri tzʼiʼ xsok ri achii pirsmoqʼ	qum xtzʼiʼ ri rqʼiij
#qum# El consumo del cigarro daña el cerebro	Ri siikʼ kirbʼan kʼex chu ri tzantzqʼor	qum ri ajkʼaʼl ri rbʼal
#qum# Frijol	Ataq kpetik jabʼ wu kʼotzʼaj qʼus kkaʼyxik	qumik wu rkʼoʼn
#qum# Cuando está bien hecho el trabajo no es necesario repasarlo	Ataq utz bʼanmaj ri chaak qal chik ktzuntzxik	qum, i.e. i.e. i.e. i.e. i.e.e.e
#qum# El hombre que mató a la mujer es el culpable	Ri ajmaak areʼ ri achi i ri xwiʼt aaj ri ixoq	qumehehomehomehomehomehomehomehomehamohumamo
#qum# El pajon blanco sirve para elaborar canastas	Ri saqkʼim kchuknik chu kbʼanik xuʼk	qum ri tʼiichʼ ri rkʼolik
#qum# La casa es muy reducido por eso no	Latzʼ wu rpom jaay sichaʼ qal xiʼ kʼisook njeel ri wnaq	qumbʼal xbʼanik ri rbʼanik ri rkʼaʼ
#qum# Cunado cae las primeras lluvias salen	Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek	qum ri rchʼiʼ ri rkaʼj
